GeneID,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC
Zm00001eb159820,IAA-amino acid hydrolase ILR1-like 4,IAA-AMINO ACID HYDROLASE ILR1-LIKE 1 (PTHR11014:SF119),metalloprotease(PC00153),IAA-Ala conjugate hydrolase activity(GO:0010179);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),auxin metabolic process(GO:0009850),
Zm00001eb342980,R3H-associated N-terminal domain-containing protein,R3H DOMAIN-CONTAINING PROTEIN 4 (PTHR32019:SF2),,nucleic acid binding(GO:0003676),,
Zm00001eb093510,Ulp1 protease family C-terminal catalytic domain containing protein expressed,OS12G0127650 PROTEIN (PTHR33870:SF7),,peptidase activity(GO:0008233),proteolysis(GO:0006508),
Zm00001eb015460,Exostosin family protein,OS03G0324700 PROTEIN (PTHR11062:SF198),glycosyltransferase(PC00111),glycosyltransferase activity(GO:0016757),,Golgi membrane(GO:0000139)
Zm00001eb148680,Putative membrane-associated kinase regulator 4,OS01G0836900 PROTEIN (PTHR33312:SF33),kinase modulator(PC00140),kinase activity(GO:0016301);kinase inhibitor activity(GO:0019210),,plasma membrane(GO:0005886)
Zm00001eb433500,Cytokinin response regulator2,TWO-COMPONENT RESPONSE REGULATOR ORR6 (PTHR43874:SF213),winged helix/forkhead transcription factor(PC00246),,phosphorelay signal transduction system(GO:0000160);cytokinin-activated signaling pathway(GO:0009736),
Zm00001eb073360,Ubiquitin fusion degradation protein 1,OS04G0577000 PROTEIN (PTHR12555:SF16),,polyubiquitin modification-dependent protein binding(GO:0031593),ubiquitin-dependent protein catabolic process(GO:0006511);proteasomal protein catabolic process(GO:0010498);ERAD pathway(GO:0036503),VCP-NPL4-UFD1 AAA ATPase complex(GO:0034098)
Zm00001eb149740,GTP binding protein,OS01G0817650 PROTEIN (PTHR31087:SF79),,,,
Zm00001eb339590,ABC transporter G family member 34,ABC TRANSPORTER G FAMILY MEMBER 34-RELATED (PTHR19241:SF638),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359),transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb414690,MHD domain-containing protein,OS08G0243900 PROTEIN (PTHR37769:SF1),,,,
Zm00001eb345510,Calcium permeable stress-gated cation channel 1,OS05G0594700 PROTEIN (PTHR13018:SF48),,calcium-activated cation channel activity(GO:0005227);identical protein binding(GO:0042802),monoatomic ion transmembrane transport(GO:0034220);monoatomic cation transmembrane transport(GO:0098655),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb404060,Putative DUF26 domain receptor-like protein kinase,TRANSMEMBRANE AND COILED-COIL DOMAIN-CONTAINING PROTEIN 4 (PTHR17920:SF3),,kinase activity(GO:0016301);carboxylic ester hydrolase activity(GO:0052689),pollen wall assembly(GO:0010208),endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)
Zm00001eb373920,DUF1677 family protein,OS06G0199402 PROTEIN (PTHR33108:SF76),,,,
Zm00001eb102550,Pyruvate dehydrogenase E1 component subunit beta,"PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT BETA, MITOCHONDRIAL (PTHR11624:SF96)",dehydrogenase(PC00092),,,
Zm00001eb395240,Putative receptor-like protein kinase family protein,RECEPTOR-LIKE PROTEIN KINASE FERONIA (PTHR27003:SF460),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);transmembrane receptor protein tyrosine kinase activity(GO:0004714);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,plasma membrane(GO:0005886)
Zm00001eb011960,DUF3527 domain protein,PUTATIVE (DUF3527)-RELATED (PTHR31390:SF12),,,,
Zm00001eb302270,F-box domain containing protein,OS06G0113600 PROTEIN (PTHR33800:SF13),,,,
Zm00001eb408260,Aldehyde dehydrogenase,OS12G0178000 PROTEIN (PTHR43570:SF5),dehydrogenase(PC00092),"aldehyde dehydrogenase (NAD+) activity(GO:0004029);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor(GO:0016620)",aldehyde metabolic process(GO:0006081);response to abscisic acid(GO:0009737),cytoplasm(GO:0005737);membrane(GO:0016020)
Zm00001eb125560,Bowman-Birk serine protease inhibitors family domain-containing protein,BOWMAN-BIRK TYPE BRAN TRYPSIN INHIBITOR (PTHR33479:SF22),,serine-type endopeptidase inhibitor activity(GO:0004867);peptidase inhibitor activity(GO:0030414),,extracellular region(GO:0005576)
Zm00001eb278980,Peptidase A1 domain-containing protein,OS06G0209100 PROTEIN (PTHR47967:SF25),,,,
Zm00001eb373200,"Protein TIC 22, chloroplastic","PROTEIN TIC 22, CHLOROPLASTIC (PTHR33926:SF4)",,,protein transport(GO:0015031),chloroplast intermembrane space(GO:0031972)
Zm00001eb119430,S-type anion channel SLAH3,OS01G0226600 PROTEIN (PTHR31269:SF5),,voltage-gated monoatomic anion channel activity(GO:0008308),monoatomic ion transport(GO:0006811);intracellular monoatomic ion homeostasis(GO:0006873);transmembrane transport(GO:0055085);monoatomic anion transmembrane transport(GO:0098656),plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb073440,Fasciclin-like arabinogalactan protein 10,FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 8 (PTHR32382:SF5),cell adhesion molecule(PC00069),,,plasma membrane(GO:0005886);side of membrane(GO:0098552)
Zm00001eb406890,Ribonuclease,RIBONUCLEASE H2 SUBUNIT A (PTHR10954:SF7),endoribonuclease(PC00094),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);nuclease activity(GO:0004518);endonuclease activity(GO:0004519);RNA-DNA hybrid ribonuclease activity(GO:0004523);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),"DNA metabolic process(GO:0006259);mismatch repair(GO:0006298);RNA catabolic process(GO:0006401);RNA metabolic process(GO:0016070);DNA replication, removal of RNA primer(GO:0043137)",ribonuclease H2 complex(GO:0032299)
Zm00001eb082910,Ubiquitin carboxyl-terminal hydrolase,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 30 (PTHR24006:SF888),cysteine protease(PC00081),cysteine-type deubiquitinase activity(GO:0004843);peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787),proteolysis(GO:0006508);protein deubiquitination(GO:0016579);regulation of protein stability(GO:0031647),nucleus(GO:0005634);cytosol(GO:0005829)
Zm00001eb035370,SBP-transcription factor16,SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 15 (PTHR31251:SF196),,transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription activator activity(GO:0001216);DNA binding(GO:0003677);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb059040,Kinesin-like protein,KINESIN FAMILY MEMBER 19A (PTHR24115:SF1016),microtubule binding motor protein(PC00156),nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017);ATP hydrolysis activity(GO:0016887),microtubule-based movement(GO:0007018),cytoplasm(GO:0005737);kinesin complex(GO:0005871);microtubule(GO:0005874)
Zm00001eb003150,MHD1 domain-containing protein,OS03G0138600 PROTEIN (PTHR31280:SF1),,,,
Zm00001eb297150,Protein REDUCED WALL ACETYLATION 3,N-ACETYLNEURAMINATE 9-O-ACETYLTRANSFERASE (PTHR13533:SF1),acetyltransferase(PC00038),acetyltransferase activity(GO:0016407);transferase activity(GO:0016740),plant-type secondary cell wall biogenesis(GO:0009834);xyloglucan metabolic process(GO:0010411);xylan biosynthetic process(GO:0045492),Golgi apparatus(GO:0005794);membrane(GO:0016020)
Zm00001eb050110,WIYLD domain-containing protein,WIYLD DOMAIN-CONTAINING PROTEIN (PTHR34271:SF5),histone modifying enzyme(PC00261),,,
Zm00001eb057540,MADS-box transcription factor 14,TRUNCATED TRANSCRIPTION FACTOR CAULIFLOWER D-LIKE (PTHR48019:SF79),MADS box transcription factor(PC00250),,,
Zm00001eb257280,Transcription factor MYB36,TRANSCRIPTION FACTOR MYB36 (PTHR48000:SF69),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355);cell differentiation(GO:0030154),nucleus(GO:0005634)
Zm00001eb367530,Strictosidine synthase conserved region domain-containing protein,STRICTOSIDINE SYNTHASE CONSERVED REGION DOMAIN-CONTAINING PROTEIN (PTHR10426:SF82),,hydrolase activity(GO:0016787),,vacuole(GO:0005773)
Zm00001eb312420,[Fructose-bisphosphate aldolase]-lysine N-methyltransferase chloroplastic,"[FRUCTOSE-BISPHOSPHATE ALDOLASE]-LYSINE N-METHYLTRANSFERASE, CHLOROPLASTIC (PTHR13271:SF113)",methyltransferase(PC00155),methyltransferase activity(GO:0008168);protein-lysine N-methyltransferase activity(GO:0016279);transferase activity(GO:0016740);[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity(GO:0030785),methylation(GO:0032259),chloroplast(GO:0009507)
Zm00001eb354520,Peroxisomal nicotinamide adenine dinucleotide carrier,OS02G0225000 PROTEIN (PTHR45683:SF5),transporter(PC00227),transmembrane transporter activity(GO:0022857),nucleotide transport(GO:0006862);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb400550,Cyclin N-terminal domain-containing protein,CYCLIN-F3-2-RELATED (PTHR10177:SF231),kinase activator(PC00138),cyclin-dependent protein serine/threonine kinase regulator activity(GO:0016538),G1/S transition of mitotic cell cycle(GO:0000082);mitotic cell cycle phase transition(GO:0044772);cell division(GO:0051301),cyclin-dependent protein kinase holoenzyme complex(GO:0000307);nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb064830,DDB1- and CUL4-associated factor 13,DDB1- AND CUL4-ASSOCIATED FACTOR 13 (PTHR22851:SF2),RNA metabolism protein(PC00031),,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000462);protein ubiquitination(GO:0016567)",nucleolus(GO:0005730);small-subunit processome(GO:0032040);Cul4-RING E3 ubiquitin ligase complex(GO:0080008);ribonucleoprotein complex(GO:1990904)
Zm00001eb120920,RAP,LD45607P (PTHR21228:SF40),RNA processing factor(PC00147),RNA binding(GO:0003723),mitochondrial RNA processing(GO:0000963);regulation of mitochondrial mRNA stability(GO:0044528);chloroplast rRNA processing(GO:1901259),mitochondrial matrix(GO:0005759);chloroplast(GO:0009507);ribonucleoprotein granule(GO:0035770);plastid nucleoid(GO:0042646)
Zm00001eb044960,Secretory protein,PLANT BASIC SECRETORY PROTEIN (BSP) FAMILY PROTEIN (PTHR33321:SF12),,,,
Zm00001eb214220,Mitogen-activated protein kinase kinase kinase 5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5 (PTHR48016:SF5),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);MAP kinase kinase kinase activity(GO:0004709);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),MAPK cascade(GO:0000165),cytoplasm(GO:0005737)
Zm00001eb357790,C3HC zinc finger-like,ZINC FINGER C3HC-TYPE PROTEIN 1 (PTHR15835:SF6),,zinc ion binding(GO:0008270),,nucleus(GO:0005634)
Zm00001eb212030,40S ribosomal protein S26,40S RIBOSOMAL PROTEIN S26 (PTHR12538:SF0),ribosomal protein(PC00202),mRNA binding(GO:0003729);structural constituent of ribosome(GO:0003735),translation(GO:0006412),ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:1990904)
Zm00001eb193370,Putative tyrosine-protein phosphatase,TYROSINE-PROTEIN PHOSPHATASE DSP2-RELATED (PTHR31126:SF39),protein phosphatase(PC00195),diphosphoinositol-polyphosphate diphosphatase activity(GO:0008486);hydrolase activity(GO:0016787);phosphatase activity(GO:0016791),,cytoplasm(GO:0005737)
Zm00001eb287610,BI1-like protein,PROTEIN LIFEGUARD 4 (PTHR23291:SF50),ion channel(PC00133),calcium channel activity(GO:0005262),endoplasmic reticulum unfolded protein response(GO:0030968);calcium ion transmembrane transport(GO:0070588),membrane(GO:0016020)
Zm00001eb324410,NADH:ubiquinone reductase (non-electrogenic),NADH:UBIQUINONE REDUCTASE (NON-ELECTROGENIC) (PTHR43706:SF4),oxidoreductase(PC00176),NADH dehydrogenase activity(GO:0003954);oxidoreductase activity(GO:0016491);NADH dehydrogenase (quinone) (non-electrogenic) activity(GO:0050136),,mitochondrion(GO:0005739);mitochondrial inner membrane(GO:0005743)
Zm00001eb258680,Phospholipid--sterol O-acyltransferase,PHOSPHOLIPID--STEROL O-ACYLTRANSFERASE (PTHR11440:SF7),acyltransferase(PC00042),O-acyltransferase activity(GO:0008374);transferase activity(GO:0016740);acyltransferase activity(GO:0016746),lipid metabolic process(GO:0006629),cytoplasm(GO:0005737)
Zm00001eb134870,Uncharacterized protein,EXPRESSED PROTEIN (PTHR33167:SF26),,,,
Zm00001eb202100,Purple acid phosphatase,PURPLE ACID PHOSPHATASE (PTHR22953:SF108),phosphatase(PC00181),acid phosphatase activity(GO:0003993);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),,
Zm00001eb013620,E1 ubiquitin-activating enzyme,E1 UBIQUITIN-ACTIVATING ENZYME (PTHR10953:SF243),ubiquitin-protein ligase(PC00234),nucleotide binding(GO:0000166);ubiquitin activating enzyme activity(GO:0004839);ubiquitin-protein transferase activity(GO:0004842);ATP binding(GO:0005524);ubiquitin-like modifier activating enzyme activity(GO:0008641);ligase activity(GO:0016874),ubiquitin-dependent protein catabolic process(GO:0006511);DNA damage response(GO:0006974);protein ubiquitination(GO:0016567),nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb403950,UDP-galactose_UDP-glucose transporter 2,ADENOSINE 3'-PHOSPHO 5'-PHOSPHOSULFATE TRANSPORTER 2 (PTHR10778:SF8),secondary carrier transporter(PC00258),,,
Zm00001eb227730,Cyclin9,CYCLIN-A2-4 (PTHR10177:SF434),kinase activator(PC00138),cyclin-dependent protein serine/threonine kinase regulator activity(GO:0016538),G1/S transition of mitotic cell cycle(GO:0000082);mitotic cell cycle phase transition(GO:0044772);cell division(GO:0051301),cyclin-dependent protein kinase holoenzyme complex(GO:0000307);nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb397950,Putative leucine-rich repeat receptor-like protein kinase family protein,LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE FEI 2 (PTHR48055:SF27),transmembrane signal receptor(PC00197),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),unidimensional cell growth(GO:0009826),plasma membrane(GO:0005886)
Zm00001eb431840,"Stress enhanced protein 2, chloroplastic","STRESS ENHANCED PROTEIN 2, CHLOROPLASTIC (PTHR36490:SF1)",,,response to wounding(GO:0009611);cellular response to high light intensity(GO:0071486);cellular response to UV-A(GO:0071492),chloroplast(GO:0009507);chloroplast thylakoid membrane(GO:0009535);membrane(GO:0016020)
Zm00001eb312440,O-fucosyltransferase family protein,O-FUCOSYLTRANSFERASE 31 (PTHR31933:SF5),protein modifying enzyme(PC00260),,,
Zm00001eb366670,Protein YIP,PROTEIN YIPF6 (PTHR21236:SF1),structural protein(PC00211),,endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888),Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794);trans-Golgi network(GO:0005802);membrane(GO:0016020)
Zm00001eb376570,Zea nodulation homolog1,OS06G0156600 PROTEIN (PTHR22835:SF220),,,,
Zm00001eb219170,Serpin domain-containing protein,GH10112P-RELATED (PTHR11461:SF211),protease inhibitor(PC00191),serine-type endopeptidase inhibitor activity(GO:0004867),,extracellular space(GO:0005615)
Zm00001eb290530,Epidermal patterning factor-like protein,EPIDERMAL PATTERNING FACTOR-LIKE PROTEIN 6 (PTHR33109:SF4),,,guard cell differentiation(GO:0010052);stomatal complex development(GO:0010374),extracellular region(GO:0005576)
Zm00001eb057180,Ser_arg-rich protein kinase 4,PROTEIN KINASE DOMAIN-CONTAINING PROTEIN-RELATED (PTHR47634:SF9),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),spliceosomal complex assembly(GO:0000245);regulation of mRNA processing(GO:0050684),
Zm00001eb244080,Molybdopterin synthase sulfur carrier subunit,MOLYBDOPTERIN SYNTHASE SULFUR CARRIER SUBUNIT (PTHR33359:SF1),transfer/carrier protein(PC00219),nucleotide binding(GO:0000166);molybdopterin synthase activity(GO:0030366),Mo-molybdopterin cofactor biosynthetic process(GO:0006777),cytoplasm(GO:0005737);cytosol(GO:0005829);molybdopterin adenylyltransferase complex(GO:1990133);molybdopterin synthase complex(GO:1990140)
Zm00001eb403000,Ubiquitin-conjugating enzyme E2 4,UBIQUITIN-CONJUGATING ENZYME E2 H (PTHR24068:SF128),ubiquitin-protein ligase(PC00234),nucleotide binding(GO:0000166);ubiquitin-protein transferase activity(GO:0004842);ATP binding(GO:0005524);transferase activity(GO:0016740);ubiquitin conjugating enzyme activity(GO:0061631),protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511),nucleus(GO:0005634)
Zm00001eb193580,"Mitochondrial phosphate carrier protein 3, mitochondrial",MITOCHONDRIAL PHOSPHATE TRANSPORTER (PTHR45671:SF17),mitochondrial carrier protein(PC00158),mRNA binding(GO:0003729);phosphate transmembrane transporter activity(GO:0005315),response to osmotic stress(GO:0006970);phosphate ion transmembrane transport(GO:0035435);mitochondrial phosphate ion transmembrane transport(GO:1990547),mitochondrial inner membrane(GO:0005743);membrane(GO:0016020)
Zm00001eb329840,RING-type E3 ubiquitin transferase,E3 UBIQUITIN-PROTEIN LIGASE DIS1 (PTHR10315:SF111),ubiquitin-protein ligase(PC00234),zinc ion binding(GO:0008270);transferase activity(GO:0016740);ligase activity(GO:0016874);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),ubiquitin-dependent protein catabolic process(GO:0006511);protein ubiquitination(GO:0016567),cytoplasm(GO:0005737)
Zm00001eb130610,Serine aminopeptidase S33 domain-containing protein,SERINE AMINOPEPTIDASE S33 DOMAIN-CONTAINING PROTEIN (PTHR11614:SF149),phospholipase(PC00186),lipase activity(GO:0016298),,membrane(GO:0016020)
Zm00001eb245230,Prohibitin,PROHIBITIN (PTHR23222:SF3),,,,
Zm00001eb010420,Glycosyl hydrolase family 10 protein,GLYCOSYL HYDROLASE FAMILY 10 PROTEIN (PTHR31490:SF3),metalloprotease(PC00153),,,
Zm00001eb051830,Serine_threonine protein phosphatase 2A regulatory subunit,SERINE_THREONINE-PROTEIN PHOSPHATASE 2A 56 KDA REGULATORY SUBUNIT GAMMA ISOFORM (PTHR10257:SF3),protein phosphatase(PC00195),protein phosphatase regulator activity(GO:0019888);protein phosphatase activator activity(GO:0072542),signal transduction(GO:0007165);meiotic sister chromatid cohesion(GO:0051177),protein phosphatase type 2A complex(GO:0000159);cytoplasm(GO:0005737)
Zm00001eb138300,GST N-terminal domain-containing protein,GLUTATHIONE S-TRANSFERASE (PTHR42673:SF5),isomerase(PC00135),,,
Zm00001eb216150,Mitogen-activated protein kinase kinase 9,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 7-RELATED (PTHR24361:SF769),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);MAP kinase kinase activity(GO:0004708);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),MAPK cascade(GO:0000165);response to stress(GO:0006950);signal transduction(GO:0007165);response to other organism(GO:0051707);defense response to other organism(GO:0098542),
Zm00001eb006010,PORR domain-containing protein,EXPRESSED PROTEIN (PTHR31476:SF8),,RNA binding(GO:0003723),,
Zm00001eb210630,Derlin-2.1,DERLIN-2.1 (PTHR11009:SF33),primary active transporter(PC00068),signal recognition particle binding(GO:0005047),response to stress(GO:0006950);endoplasmic reticulum unfolded protein response(GO:0030968);ERAD pathway(GO:0036503),endoplasmic reticulum membrane(GO:0005789)
Zm00001eb396670,Spliceosomal protein,U2 SMALL NUCLEAR RIBONUCLEOPROTEIN B''-RELATED (PTHR10501:SF71),RNA splicing factor(PC00148),nucleic acid binding(GO:0003676);RNA binding(GO:0003723),"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380)",nucleus(GO:0005634);spliceosomal complex(GO:0005681);U2 snRNP(GO:0005686);small nuclear ribonucleoprotein complex(GO:0030532);ribonucleoprotein complex(GO:1990904)
Zm00001eb293530,ATP-dependent 6-phosphofructokinase,ATP-DEPENDENT 6-PHOSPHOFRUCTOKINASE (PTHR45770:SF10),,nucleotide binding(GO:0000166);catalytic activity(GO:0003824);6-phosphofructokinase activity(GO:0003872);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872),fructose 6-phosphate metabolic process(GO:0006002);glycolytic process(GO:0006096);glycolytic process through fructose-6-phosphate(GO:0061615),cytoplasm(GO:0005737)
Zm00001eb357800,Bidirectional sugar transporter SWEET,SUGAR TRANSPORTER SWEET1 (PTHR10791:SF30),,,,
Zm00001eb359760,Alpha_beta-Hydrolases superfamily protein,COILED-COIL DOMAIN-CONTAINING PROTEIN 174 (PTHR15885:SF1),,hydrolase activity(GO:0016787),,nucleus(GO:0005634)
Zm00001eb212010,CASP-like protein,CASP-LIKE PROTEIN 4B3 (PTHR33573:SF60),,,,
Zm00001eb416450,Chaperone protein dnaJ A6 chloroplastic,"CHAPERONE PROTEIN DNAJ A6, CHLOROPLASTIC (PTHR43096:SF10)",chaperone(PC00072),ATP binding(GO:0005524);zinc ion binding(GO:0008270);heat shock protein binding(GO:0031072);metal ion binding(GO:0046872);unfolded protein binding(GO:0051082),protein folding(GO:0006457);response to heat(GO:0009408);protein refolding(GO:0042026),cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);chloroplast(GO:0009507)
Zm00001eb193910,Cupredoxin superfamily protein,OS02G0758800 PROTEIN (PTHR33021:SF301),,electron transfer activity(GO:0009055);metal ion binding(GO:0046872),,plasma membrane(GO:0005886)
Zm00001eb052100,CSC1-like protein RXW8,CSC1-LIKE PROTEIN RXW8 (PTHR13018:SF117),,calcium-activated cation channel activity(GO:0005227),monoatomic ion transmembrane transport(GO:0034220);monoatomic cation transmembrane transport(GO:0098655),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb080670,MADS-box transcription factor 27,MADS-BOX TRANSCRIPTION FACTOR 27 (PTHR48019:SF111),MADS box transcription factor(PC00250),"RNA polymerase II transcription regulatory region sequence-specific DNA binding(GO:0000977);RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of transcription by RNA polymerase II(GO:0045944),nucleus(GO:0005634)
Zm00001eb253990,dynamin GTPase,DYNAMIN-2B (PTHR11566:SF57),membrane traffic protein(PC00150),nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525);microtubule binding(GO:0008017);hydrolase activity(GO:0016787),clathrin-dependent endocytosis(GO:0072583),cytoplasm(GO:0005737);microtubule(GO:0005874);membrane(GO:0016020)
Zm00001eb265880,Dirigent protein,DIRIGENT PROTEIN (PTHR46506:SF67),,carbohydrate binding(GO:0030246),phenylpropanoid biosynthetic process(GO:0009699),apoplast(GO:0048046)
Zm00001eb420600,Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain,OS04G0372800 PROTEIN (PTHR10693:SF82),RNA metabolism protein(PC00031),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA binding(GO:0003729),,cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb422570,GrpE protein homolog,CELL CYCLE AND APOPTOSIS REGULATOR PROTEIN 2 (PTHR21237:SF40),primary active transporter(PC00068),adenyl-nucleotide exchange factor activity(GO:0000774);protein homodimerization activity(GO:0042803);unfolded protein binding(GO:0051082);protein-folding chaperone binding(GO:0051087),protein folding(GO:0006457),cytoplasm(GO:0005737);chloroplast(GO:0009507)
Zm00001eb311450,phosphopyruvate hydratase,"ENOLASE 1, CHLOROPLASTIC (PTHR11902:SF42)",lyase(PC00144),magnesium ion binding(GO:0000287);phosphopyruvate hydratase activity(GO:0004634);lyase activity(GO:0016829);metal ion binding(GO:0046872),glycolytic process(GO:0006096),phosphopyruvate hydratase complex(GO:0000015)
Zm00001eb395600,Hexosyltransferase,IME2-DEPENDENT-SIGNALING PROTEIN (PTHR11183:SF118),glycosyltransferase(PC00111),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);metal ion binding(GO:0046872);inositol 3-alpha-galactosyltransferase activity(GO:0047216),galactose metabolic process(GO:0006012);response to stress(GO:0006950),cytoplasm(GO:0005737)
Zm00001eb042030,Cytochrome b5 heme-binding domain-containing protein,CYTOCHROME B5 TYPE B (PTHR19359:SF95),oxidoreductase(PC00176),,,
Zm00001eb062180,Methylenetetrahydrofolate reductase (NADH) 1,METHYLENETETRAHYDROFOLATE REDUCTASE (NADPH) (PTHR45754:SF3),reductase(PC00198),methylenetetrahydrofolate reductase [NAD(P)H] activity(GO:0004489);oxidoreductase activity(GO:0016491);FAD binding(GO:0071949);methylenetetrahydrofolate reductase (NADH) activity(GO:0106312),methionine metabolic process(GO:0006555);methionine biosynthetic process(GO:0009086);tetrahydrofolate interconversion(GO:0035999);small molecule metabolic process(GO:0044281),cytosol(GO:0005829)
Zm00001eb303710,Glycerol-3-phosphate dehydrogenase [NAD(+)],"GLYCEROL-3-PHOSPHATE DEHYDROGENASE [NAD(+)] 2, CHLOROPLASTIC (PTHR11728:SF1)",dehydrogenase(PC00092),"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);glycerol-3-phosphate dehydrogenase [NAD(P)+] activity(GO:0047952);NAD binding(GO:0051287);glycerol-3-phosphate dehydrogenase (NAD+) activity(GO:0141152)",carbohydrate metabolic process(GO:0005975);glycerol-3-phosphate metabolic process(GO:0006072);lipid metabolic process(GO:0006629);phospholipid biosynthetic process(GO:0008654);glycerol-3-phosphate catabolic process(GO:0046168),cytosol(GO:0005829);chloroplast(GO:0009507)
Zm00001eb038370,"ATP synthase subunit d, mitochondrial","ATP SYNTHASE SUBUNIT D, MITOCHONDRIAL (PTHR12700:SF22)",ATP synthase(PC00002),"proton transmembrane transporter activity(GO:0015078);proton-transporting ATP synthase activity, rotational mechanism(GO:0046933)",monoatomic ion transport(GO:0006811);proton motive force-driven ATP synthesis(GO:0015986);proton transmembrane transport(GO:1902600),mitochondrial inner membrane(GO:0005743);proton-transporting ATP synthase complex(GO:0045259)
Zm00001eb302560,AAA-ATPase ASD mitochondrial,OS07G0192000 PROTEIN (PTHR23070:SF20),,nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887),response to stress(GO:0006950),
